"pokemonId","hp","attack","defense","spAttack","spDefense","speed"
"4-n178","65","75","70","95","70","95"
"4-n179","55","40","40","65","45","35"
"4-n18","83","80","75","70","70","101"
"4-n180","70","55","55","80","60","45"
"4-n181","90","75","85","115","90","55"
"4-n181m","90","95","105","165","110","45"
"4-n182","75","80","95","90","100","50"
"4-n183","70","20","50","20","50","40"
"4-n184","100","50","80","60","80","50"
"4-n185","70","100","115","30","65","30"
"4-n186","90","75","75","90","100","70"
"4-n187","35","35","40","35","55","50"
"4-n188","55","45","50","45","65","80"
"4-n189","75","55","70","55","95","110"
"4-n18m","83","80","80","135","80","121"
"4-n19","30","56","35","25","35","72"
"4-n190","55","70","55","40","55","85"
"4-n191","30","30","30","30","30","30"
"4-n192","75","75","55","105","85","30"
"4-n193","65","65","45","75","45","95"
"4-n194","55","45","45","25","25","15"
"4-n194p","55","45","45","25","25","15"
"4-n195","95","85","85","65","65","35"
"4-n196","65","65","60","130","95","110"
"4-n197","95","65","110","60","130","65"
"4-n198","60","85","42","85","42","91"
"4-n199","95","75","80","100","110","30"
"4-n199g","95","65","80","110","110","30"
"4-n19a","30","56","35","25","35","72"
"4-n2","60","62","63","80","80","60"
"4-n20","55","81","60","50","70","97"
"4-n200","60","60","60","85","85","85"
"4-n201","48","72","48","72","48","48"
"4-n202","190","33","58","33","58","33"
"4-n203","70","80","65","90","65","85"
"4-n204","50","65","90","35","35","15"
"4-n205","75","90","140","60","60","40"
"4-n206","100","70","70","65","65","45"
"4-n207","65","75","105","35","65","85"
"4-n208","75","85","200","55","65","30"
"4-n208m","75","125","230","55","95","30"
"4-n209","60","80","50","40","40","30"
"4-n20a","75","71","70","40","80","77"
"4-n21","40","60","30","31","31","70"
"4-n210","90","120","75","60","60","45"
"4-n211","65","95","85","55","55","85"
"4-n211h","65","95","85","55","55","85"
"4-n212","70","130","100","55","80","65"
"4-n212m","70","150","140","65","100","75"
"4-n213","20","10","230","10","230","5"
"4-n214","80","125","75","40","95","85"
"4-n214m","80","185","115","40","105","75"
"4-n215","55","95","55","35","75","115"
"4-n215h","55","95","55","35","75","115"
"4-n216","60","80","50","50","50","40"
"4-n217","90","130","75","75","75","55"
"4-n218","40","40","40","70","40","20"
"4-n219","60","50","120","90","80","30"
"4-n22","65","90","65","61","61","100"
"4-n220","50","50","40","30","30","50"
"4-n221","100","100","80","60","60","50"
"4-n222","65","55","95","65","95","35"
"4-n222g","60","55","100","65","100","30"
"4-n223","35","65","35","65","35","65"
"4-n224","75","105","75","105","75","45"
"4-n225","45","55","45","65","45","75"
"4-n226","85","40","70","80","140","70"
"4-n227","65","80","140","40","70","70"
"4-n228","45","60","30","80","50","65"
"4-n229","75","90","50","110","80","95"
"4-n229m","75","90","90","140","90","115"
"4-n23","35","60","44","40","54","55"
"4-n230","75","95","95","95","95","85"
"4-n231","90","60","60","40","40","40"
"4-n232","90","120","120","60","60","50"
"4-n233","85","80","90","105","95","60"
"4-n234","73","95","62","85","65","85"
"4-n235","55","20","35","20","45","75"
"4-n236","35","35","35","35","35","35"
"4-n237","50","95","95","35","110","70"
"4-n238","45","30","15","85","65","65"
"4-n239","45","63","37","65","55","95"
"4-n24","60","95","69","65","79","80"
"4-n240","45","75","37","70","55","83"
"4-n241","95","80","105","40","70","100"
"4-n242","255","10","10","75","135","55"
"4-n243","90","85","75","115","100","115"
"4-n244","115","115","85","90","75","100"
"4-n245","100","75","115","90","115","85"
"4-n246","50","64","50","45","50","41"
"4-n247","70","84","70","65","70","51"
"4-n248","100","134","110","95","100","61"
"4-n248m","100","164","150","95","120","71"
"4-n249","106","90","130","90","154","110"
"4-n25","35","55","40","50","50","90"
"4-n250","106","130","90","110","154","90"
"4-n251","100","100","100","100","100","100"
"4-n252","40","45","35","65","55","70"
"4-n253","50","65","45","85","65","95"
"4-n254","70","85","65","105","85","120"
"4-n254m","70","110","75","145","85","145"
"4-n255","45","60","40","70","50","45"
"4-n256","60","85","60","85","60","55"
"4-n257","80","120","70","110","70","80"
"4-n257m","80","160","80","130","80","100"
"4-n258","50","70","50","50","50","40"
"4-n259","70","85","70","60","70","50"
"4-n26","60","90","55","90","80","110"
"4-n260","100","110","90","85","90","60"
"4-n260m","100","150","110","95","110","70"
"4-n261","35","55","35","30","30","35"
"4-n262","70","90","70","60","60","70"
"4-n263","38","30","41","30","41","60"
"4-n263g","38","30","41","30","41","60"
"4-n264","78","70","61","50","61","100"
"4-n264g","78","70","61","50","61","100"
"4-n265","45","45","35","20","30","20"
"4-n266","50","35","55","25","25","15"
"4-n267","60","70","50","100","50","65"
"4-n268","50","35","55","25","25","15"
"4-n269","60","50","70","50","90","65"
"4-n26a","60","85","50","95","85","110"
"4-n27","50","75","85","20","30","40"
"4-n270","40","30","30","40","50","30"
"4-n271","60","50","50","60","70","50"
"4-n272","80","70","70","90","100","70"
"4-n273","40","40","50","30","30","30"
"4-n274","70","70","40","60","40","60"
"4-n275","90","100","60","90","60","80"
"4-n276","40","55","30","30","30","85"
"4-n277","60","85","60","75","50","125"
"4-n278","40","30","30","55","30","85"
"4-n279","60","50","100","95","70","65"
"4-n27a","50","75","90","10","35","40"
"4-n28","75","100","110","45","55","65"
"4-n280","28","25","25","45","35","40"
"4-n281","38","35","35","65","55","50"
"4-n282","68","65","65","125","115","80"
"4-n282m","68","85","65","165","135","100"
"4-n283","40","30","32","50","52","65"
"4-n284","70","60","62","100","82","80"
"4-n285","60","40","60","40","60","35"
"4-n286","60","130","80","60","60","70"
"4-n287","60","60","60","35","35","30"
"4-n288","80","80","80","55","55","90"
"4-n289","150","160","100","95","65","100"
"4-n28a","75","100","120","25","65","65"
"4-n29","55","47","52","40","40","41"
"4-n290","31","45","90","30","30","40"
"4-n291","61","90","45","50","50","160"
"4-n292","1","90","45","30","30","40"
"4-n293","64","51","23","51","23","28"
"4-n294","84","71","43","71","43","48"
"4-n295","104","91","63","91","73","68"
"4-n296","72","60","30","20","30","25"
"4-n297","144","120","60","40","60","50"
"4-n298","50","20","40","20","40","20"
"4-n299","30","45","135","45","90","30"
"4-n3","80","82","83","100","100","80"
"4-n30","70","62","67","55","55","56"
"4-n300","50","45","45","35","35","50"
"4-n301","70","65","65","55","55","90"
"4-n302","50","75","75","65","65","50"
"4-n302m","50","85","125","85","115","20"
"4-n303","50","85","85","55","55","50"
"4-n303m","50","105","125","55","95","50"
"4-n304","50","70","100","40","40","30"
"4-n305","60","90","140","50","50","40"
"4-n306","70","110","180","60","60","50"
"4-n306m","70","140","230","60","80","50"
"4-n307","30","40","55","40","55","60"
"4-n308","60","60","75","60","75","80"
"4-n308m","60","100","85","80","85","100"
"4-n309","40","45","40","65","40","65"
"4-n31","90","92","87","75","85","76"
"4-n310","70","75","60","105","60","105"
"4-n310m","70","75","80","135","80","135"
"4-n311","60","50","40","85","75","95"
"4-n312","60","40","50","75","85","95"
"4-n313","65","73","75","47","85","85"
"4-n314","65","47","75","73","85","85"
"4-n315","50","60","45","100","80","65"
"4-n316","70","43","53","43","53","40"
"4-n317","100","73","83","73","83","55"
"4-n318","45","90","20","65","20","65"
"4-n319","70","120","40","95","40","95"
"4-n319m","70","140","70","110","65","105"
"4-n32","46","57","40","40","40","50"
"4-n320","130","70","35","70","35","60"
"4-n321","170","90","45","90","45","60"
"4-n322","60","60","40","65","45","35"
"4-n323","70","100","70","105","75","40"
"4-n323m","70","120","100","145","105","20"
"4-n324","70","85","140","85","70","20"
"4-n325","60","25","35","70","80","60"
"4-n326","80","45","65","90","110","80"
"4-n327","60","60","60","60","60","60"
"4-n328","45","100","45","45","45","10"
"4-n329","50","70","50","50","50","70"
"4-n33","61","72","57","55","55","65"
"4-n330","80","100","80","80","80","100"
"4-n331","50","85","40","85","40","35"
"4-n332","70","115","60","115","60","55"
"4-n333","45","40","60","40","75","50"
"4-n334","75","70","90","70","105","80"
"4-n334m","75","110","110","110","105","80"
"4-n335","73","115","60","60","60","90"
"4-n336","73","100","60","100","60","65"
"4-n337","90","55","65","95","85","70"
"4-n338","90","95","85","55","65","70"
"4-n339","50","48","43","46","41","60"
"4-n34","81","102","77","85","75","85"
"4-n340","110","78","73","76","71","60"
"4-n341","43","80","65","50","35","35"
"4-n342","63","120","85","90","55","55"
"4-n343","40","40","55","40","70","55"
"4-n344","60","70","105","70","120","75"
"4-n345","66","41","77","61","87","23"
"4-n346","86","81","97","81","107","43"
"4-n347","45","95","50","40","50","75"
"4-n348","75","125","100","70","80","45"
"4-n349","20","15","20","10","55","80"
"4-n35","70","45","48","60","65","35"
"4-n350","95","60","79","100","125","81"
"4-n351","70","70","70","70","70","70"
"4-n352","60","90","70","60","120","40"
"4-n353","44","75","35","63","33","45"
"4-n354","64","115","65","83","63","65"
"4-n354m","64","165","75","93","83","75"
"4-n355","20","40","90","30","90","25"
"4-n356","40","70","130","60","130","25"
"4-n357","99","68","83","72","87","51"
"4-n358","0","50","0","95","0","65"
"4-n359","65","130","60","75","60","75"
"4-n359m","65","150","60","115","60","115"
"4-n36","95","70","73","95","90","60"
"4-n360","95","23","48","23","48","23"
"4-n361","50","50","50","50","50","50"
"4-n362","80","80","80","80","80","80"
"4-n362m","80","120","80","120","80","100"
"4-n363","70","40","50","55","50","25"
"4-n364","90","60","70","75","70","45"
"4-n365","110","80","90","95","90","65"
"4-n366","35","64","85","74","55","32"
"4-n367","55","104","105","94","75","52"
"4-n368","55","84","105","114","75","52"
"4-n369","100","90","130","45","65","55"
"4-n37","38","41","40","50","65","65"
"4-n370","43","30","55","40","65","97"
"4-n371","45","75","60","40","30","50"
"4-n372","65","95","100","60","50","50"
"4-n373","95","135","80","110","80","100"
"4-n373m","95","145","130","120","90","120"
"4-n374","40","55","80","35","60","30"
"4-n375","60","75","100","55","80","50"
"4-n376","80","135","130","95","90","70"
"4-n376m","80","145","150","105","110","110"
"4-n377","80","100","200","50","100","50"
"4-n378","80","50","100","100","200","50"
"4-n379","80","75","150","75","150","50"
"4-n37a","38","41","40","50","65","65"
"4-n38","73","76","75","81","100","100"
"4-n380","80","80","90","110","130","110"
"4-n380m","80","100","120","140","150","110"
"4-n381","80","90","80","130","110","110"
"4-n381m","80","130","100","160","120","110"
"4-n382","100","100","90","150","140","90"
"4-n382p","100","150","90","180","160","90"
"4-n383","100","150","140","100","90","90"
"4-n383p","100","180","160","150","90","90"
"4-n384","105","150","90","150","90","95"
"4-n384m","105","180","100","180","100","115"
"4-n385","100","100","100","100","100","100"
"4-n386","50","150","50","150","50","150"
"4-n386a","50","180","20","180","20","150"
"4-n386d","50","70","160","70","160","90"
"4-n386s","50","95","90","95","90","180"
"4-n387","55","68","64","45","55","31"
"4-n388","75","89","85","55","65","36"
"4-n389","95","109","105","75","85","56"
"4-n38a","73","67","75","81","100","109"
"4-n39","115","45","20","45","25","20"
"4-n390","44","58","44","58","44","61"
"4-n391","64","78","52","78","52","81"
"4-n392","76","104","71","104","71","108"
"4-n393","53","51","53","61","56","40"
"4-n394","64","66","68","81","76","50"
"4-n395","84","86","88","111","101","60"
"4-n396","40","55","30","30","30","60"
"4-n397","55","75","50","40","40","80"
"4-n398","85","120","70","50","60","100"
"4-n399","59","45","40","35","40","31"
"4-n3m","80","100","123","122","120","80"
"4-n4","39","52","43","60","50","65"
"4-n40","140","70","45","85","50","45"
"4-n400","79","85","60","55","60","71"
"4-n401","37","25","41","25","41","25"
"4-n402","77","85","51","55","51","65"
"4-n403","45","65","34","40","34","45"
"4-n404","60","85","49","60","49","60"
"4-n405","80","120","79","95","79","70"
"4-n406","40","30","35","50","70","55"
"4-n407","60","70","65","125","105","90"
"4-n408","67","125","40","30","30","58"
"4-n409","97","165","60","65","50","58"
"4-n41","40","45","35","30","40","55"
"4-n410","30","42","118","42","88","30"
"4-n411","60","52","168","47","138","30"
"4-n412","40","29","45","29","45","36"
"4-n413","60","59","85","79","105","36"
"4-n413d","60","69","95","69","95","36"
"4-n413s","60","79","105","59","85","36"
"4-n414","70","94","50","94","50","66"
"4-n415","30","30","42","30","42","70"
"4-n416","70","80","102","80","102","40"
"4-n417","60","45","70","45","90","95"
"4-n418","55","65","35","60","30","85"
"4-n419","85","105","55","85","50","115"
"4-n42","75","80","70","65","75","90"
"4-n420","45","35","45","62","53","35"
"4-n421","70","60","70","87","78","85"
"4-n422","76","48","48","57","62","34"
"4-n423","111","83","68","92","82","39"
"4-n424","75","100","66","60","66","115"
"4-n425","90","50","34","60","44","70"
"4-n426","150","80","44","90","54","80"
"4-n427","55","66","44","44","56","85"
"4-n428","65","76","84","54","96","105"
"4-n428m","65","136","94","54","96","135"
"4-n429","60","60","60","105","105","105"
"4-n43","45","50","55","75","65","30"
"4-n430","100","125","52","105","52","71"
"4-n431","49","55","42","42","37","85"
"4-n432","71","82","64","64","59","112"
"4-n433","45","30","50","65","50","45"
"4-n434","63","63","47","41","41","74"
"4-n435","103","93","67","71","61","84"
"4-n436","57","24","86","24","86","23"
"4-n437","67","89","116","79","116","33"
"4-n438","50","80","95","10","45","10"
"4-n439","20","25","45","70","90","60"
"4-n44","60","65","70","85","75","40"
"4-n440","100","5","5","15","65","30"
"4-n441","76","65","45","92","42","91"
"4-n442","50","92","108","92","108","35"
"4-n443","58","70","45","40","45","42"
"4-n444","68","90","65","50","55","82"
"4-n445","108","130","95","80","85","102"
"4-n445m","108","170","115","120","95","92"
"4-n446","135","85","40","40","85","5"
"4-n447","40","70","40","35","40","60"
"4-n448","70","110","70","115","70","90"
"4-n448m","70","145","88","140","70","112"
"4-n449","68","72","78","38","42","32"
"4-n45","75","80","85","110","90","50"
"4-n450","108","112","118","68","72","47"
"4-n451","40","50","90","30","55","65"
"4-n452","70","90","110","60","75","95"
"4-n453","48","61","40","61","40","50"
"4-n454","83","106","65","86","65","85"
"4-n455","74","100","72","90","72","46"
"4-n456","49","49","56","49","61","66"
"4-n457","69","69","76","69","86","91"
"4-n458","45","20","50","60","120","50"
"4-n459","60","62","50","62","60","40"
"4-n46","35","70","55","45","55","25"
"4-n460","90","92","75","92","85","60"
"4-n460m","90","132","105","132","105","30"
"4-n461","70","120","65","45","85","125"
"4-n462","70","70","115","130","90","60"
"4-n463","110","85","95","80","95","50"
"4-n464","115","140","130","55","55","40"
"4-n465","100","100","125","110","50","50"
"4-n466","75","123","67","95","85","95"
"4-n467","75","95","67","125","95","83"
"4-n468","85","50","95","120","115","80"
"4-n469","86","76","86","116","56","95"
"4-n47","60","95","80","60","80","30"
"4-n470","65","110","130","60","65","95"
"4-n471","65","60","110","130","95","65"
"4-n472","75","95","125","45","75","95"
"4-n473","110","130","80","70","60","80"
"4-n474","85","80","70","135","75","90"
"4-n475","68","125","65","65","115","80"
"4-n475m","68","165","95","65","115","110"
"4-n476","60","55","145","75","150","40"
"4-n477","45","100","135","65","135","45"
"4-n478","70","80","70","80","70","110"
"4-n479","50","50","77","95","77","91"
"4-n479c","50","65","107","105","107","86"
"4-n479f","50","65","107","105","107","86"
"4-n479h","50","65","107","105","107","86"
"4-n479s","50","65","107","105","107","86"
"4-n479w","50","65","107","105","107","86"
"4-n48","60","55","50","40","55","45"
"4-n480","75","75","130","75","130","95"
"4-n481","80","105","105","105","105","80"
"4-n482","75","125","70","125","70","115"
"4-n483","100","120","120","150","100","90"
"4-n483o","100","100","120","150","120","90"
"4-n484","90","120","100","150","120","100"
"4-n484o","90","100","100","150","120","120"
"4-n485","91","90","106","130","106","77"
"4-n486","110","160","110","80","110","100"
"4-n487","150","100","120","100","120","90"
"4-n487o","150","120","100","120","100","90"
"4-n488","120","70","0","75","0","85"
"4-n489","80","80","80","80","80","80"
"4-n49","70","65","60","90","75","90"
"4-n490","100","100","100","100","100","100"
"4-n491","70","90","90","135","90","125"
"4-n492","100","100","100","100","100","100"
"4-n492s","100","103","75","120","75","127"
"4-n493","120","120","120","120","120","120"
"4-n494","100","100","100","100","100","100"
"4-n495","45","45","55","45","55","63"
"4-n496","60","60","75","60","75","83"
"4-n497","75","75","95","75","95","113"
"4-n498","65","63","45","45","45","45"
"4-n499","90","93","55","70","55","55"
"4-n5","58","64","58","80","65","80"
"4-n50","10","55","25","35","45","95"
"4-n500","110","123","65","100","65","65"
"4-n501","55","55","45","63","45","45"
"4-n502","75","75","60","83","60","60"
"4-n503","95","100","85","108","70","70"
"4-n503h","90","108","80","100","65","85"
"4-n504","45","55","39","35","39","42"
"4-n505","60","85","69","60","69","77"
"4-n506","45","60","45","25","45","55"
"4-n507","65","80","65","35","65","60"
"4-n508","85","110","90","45","90","80"
"4-n509","41","50","37","50","37","66"
"4-n50a","10","55","30","35","45","90"
"4-n51","35","100","50","50","70","120"
"4-n510","64","88","50","88","50","106"
"4-n511","50","53","48","53","48","64"
"4-n512","75","98","63","98","63","101"
"4-n513","50","53","48","53","48","64"
"4-n514","75","98","63","98","63","101"
"4-n515","50","53","48","53","48","64"
"4-n516","75","98","63","98","63","101"
"4-n517","76","25","45","67","55","24"
"4-n518","116","55","85","107","95","29"
"4-n519","50","55","50","36","30","43"
"4-n51a","35","100","60","50","70","110"
"4-n52","40","45","35","40","40","90"
"4-n520","62","77","62","50","42","65"
"4-n521","80","115","80","65","55","93"
"4-n522","45","60","32","50","32","76"
"4-n523","75","100","63","80","63","116"
"4-n524","55","75","85","25","25","15"
"4-n525","70","105","105","50","40","20"
"4-n526","85","135","130","60","80","25"
"4-n527","65","45","43","55","43","72"
"4-n528","67","57","55","77","55","114"
"4-n529","60","85","40","30","45","68"
"4-n52a","40","35","35","50","40","90"
"4-n52g","50","65","55","40","40","40"
"4-n53","65","70","60","65","65","115"
"4-n530","110","135","60","50","65","88"
"4-n531","103","60","86","60","86","50"
"4-n531m","103","60","126","80","126","50"
"4-n532","75","80","55","25","35","35"
"4-n533","85","105","85","40","50","40"
"4-n534","105","140","95","55","65","45"
"4-n535","50","50","40","50","40","64"
"4-n536","75","65","55","65","55","69"
"4-n537","105","95","75","85","75","74"
"4-n538","120","100","85","30","85","45"
"4-n539","75","125","75","30","75","85"
"4-n53a","65","60","60","75","65","115"
"4-n54","50","52","48","65","50","55"
"4-n540","45","53","70","40","60","42"
"4-n541","55","63","90","50","80","42"
"4-n542","75","103","80","70","80","92"
"4-n543","30","45","59","30","39","57"
"4-n544","40","55","99","40","79","47"
"4-n545","60","100","89","55","69","112"
"4-n546","40","27","60","37","50","66"
"4-n547","60","67","85","77","75","116"
"4-n548","45","35","50","70","50","30"
"4-n549","70","60","75","110","75","90"
"4-n549h","70","105","75","50","75","105"
"4-n55","80","82","78","95","80","85"
"4-n550","70","92","65","80","55","98"
"4-n550f","70","92","65","80","55","98"
"4-n550w","70","92","65","80","55","98"
"4-n551","50","72","35","35","35","65"
"4-n552","60","82","45","45","45","74"
"4-n553","95","117","80","65","70","92"
"4-n554","70","90","45","15","45","50"
"4-n554g","70","90","45","15","45","50"
"4-n555","105","140","55","30","55","95"
"4-n555f","105","30","105","140","105","55"
"4-n555g","105","140","55","30","55","95"
"4-n555h","105","160","55","30","55","135"
"4-n556","75","86","67","106","67","60"
"4-n557","50","65","85","35","35","55"
"4-n558","70","105","125","65","75","45"
"4-n559","50","75","70","35","70","48"
"4-n56","40","80","35","35","45","70"
"4-n560","65","90","115","45","115","58"
"4-n561","72","58","80","103","80","97"
"4-n562","38","30","85","55","65","30"
"4-n562g","38","55","85","30","65","30"
"4-n563","58","50","145","95","105","30"
"4-n564","54","78","103","53","45","22"
"4-n565","74","108","133","83","65","32"
"4-n566","55","112","45","74","45","70"
"4-n567","75","140","65","112","65","110"
"4-n568","50","50","62","40","62","65"
"4-n569","80","95","82","60","82","75"
"4-n57","65","105","60","60","70","95"
"4-n570","40","65","40","80","40","65"
"4-n570h","35","60","40","85","40","70"
"4-n571","60","105","60","120","60","105"
"4-n571h","55","100","60","125","60","110"
"4-n572","55","50","40","40","40","75"
"4-n573","75","95","60","65","60","115"
"4-n574","45","30","50","55","65","45"
"4-n575","60","45","70","75","85","55"
"4-n576","70","55","95","95","110","65"
"4-n577","45","30","40","105","50","20"
"4-n578","65","40","50","125","60","30"
"4-n579","110","65","75","125","85","30"
"4-n58","55","70","45","70","50","60"
"4-n580","62","44","50","44","50","55"
"4-n581","75","87","63","87","63","98"
"4-n582","36","50","50","65","60","44"
"4-n583","51","65","65","80","75","59"
"4-n584","71","95","85","110","95","79"
"4-n585","60","60","50","40","50","75"
"4-n586","80","100","70","60","70","95"
"4-n587","55","75","60","75","60","103"
"4-n588","50","75","45","40","45","60"
"4-n589","70","135","105","60","105","20"
"4-n58h","60","75","45","65","50","55"
"4-n59","90","110","80","100","80","95"
"4-n590","69","55","45","55","55","15"
"4-n591","114","85","70","85","80","30"
"4-n592","55","40","50","65","85","40"
"4-n593","100","60","70","85","105","60"
"4-n594","165","75","80","40","45","65"
"4-n595","50","47","50","57","50","65"
"4-n596","70","77","60","97","60","108"
"4-n597","44","50","91","24","86","10"
"4-n598","74","94","131","54","116","20"
"4-n599","40","55","70","45","60","30"
"4-n59h","95","115","80","95","80","90"
"4-n6","78","84","78","109","85","100"
"4-n60","40","50","40","40","40","90"
"4-n600","60","80","95","70","85","50"
"4-n601","60","100","115","70","85","90"
"4-n602","35","55","40","45","40","60"
"4-n603","65","85","70","75","70","40"
"4-n604","85","115","80","105","80","50"
"4-n605","55","55","55","85","55","30"
"4-n606","75","75","75","125","95","40"
"4-n607","50","30","55","65","55","20"
"4-n608","60","40","60","95","60","55"
"4-n609","60","55","90","145","90","80"
"4-n61","65","65","65","50","50","90"
"4-n610","46","87","60","30","40","57"
"4-n611","66","117","70","40","50","67"
"4-n612","76","147","90","60","70","97"
"4-n613","55","70","40","60","40","40"
"4-n614","95","130","80","70","80","50"
"4-n615","80","50","50","95","135","105"
"4-n616","50","40","85","40","65","25"
"4-n617","80","70","40","100","60","145"
"4-n618","109","66","84","81","99","32"
"4-n618g","109","81","99","66","84","32"
"4-n619","45","85","50","55","50","65"
"4-n62","90","95","95","70","90","70"
"4-n620","65","125","60","95","60","105"
"4-n621","77","120","90","60","90","48"
"4-n622","59","74","50","35","50","35"
"4-n623","89","124","80","55","80","55"
"4-n624","45","85","70","40","40","60"
"4-n625","65","125","100","60","70","70"
"4-n626","95","110","95","40","95","55"
"4-n627","70","83","50","37","50","60"
"4-n628","100","123","75","57","75","80"
"4-n628h","110","83","70","112","70","65"
"4-n629","70","55","75","45","65","60"
"4-n63","25","20","15","105","55","90"
"4-n630","110","65","105","55","95","80"
"4-n631","85","97","66","105","66","65"
"4-n632","58","109","112","48","48","109"
"4-n633","52","65","50","45","50","38"
"4-n634","72","85","70","65","70","58"
"4-n635","92","105","90","125","90","98"
"4-n636","55","85","55","50","55","60"
"4-n637","85","60","65","135","105","100"
"4-n638","91","90","129","90","72","108"
"4-n639","91","129","90","72","90","108"
"4-n64","40","35","30","120","70","105"
"4-n640","91","90","72","90","129","108"
"4-n641","79","115","70","125","80","111"
"4-n641a","79","100","80","110","90","121"
"4-n642","79","115","70","125","80","111"
"4-n642a","79","105","70","145","80","101"
"4-n643","100","120","100","150","120","90"
"4-n644","100","150","120","120","100","90"
"4-n645","89","125","90","115","80","101"
"4-n645a","89","145","90","105","80","91"
"4-n646","125","130","90","130","90","95"
"4-n646b","125","170","100","120","90","95"
