"id","name","type","power1","power2","pp","accuracy","priority","damageType","isDirect","canProtect"
"265","スモッグ","3","30","70","20","70","0","特殊","false","true"
"266","すりかえ","16","-","-","10","100","0","変化","false","true"
"267","ずつき","0","70","120","15","100","0","物理","true","true"
"268","せいちょう","0","-","-","20","-","0","変化","false","false"
"269","せいなるつるぎ","1","90","90","15","100","0","物理","true","true"
"270","ぜったいれいど","14","-","130","5","30","0","特殊","false","true"
"271","ソーラービーム","11","120","140","10","100","0","特殊","false","true"
"272","ソーラーブレード","11","125","140","10","100","0","物理","true","true"
"273","そうでん","12","-","-","20","-","0","変化","false","true"
"274","ソウルクラッシュ","17","75","130","15","100","0","物理","true","true"
"275","ソウルビート","15","-","-","5","100","0","変化","false","false"
"276","そらをとぶ","2","90","130","15","95","0","物理","true","true"
"277","タールショット","5","-","-","15","100","0","変化","false","true"
"278","たいあたり","0","40","90","35","100","0","物理","true","true"
"279","たきのぼり","10","80","130","15","100","0","物理","true","true"
"280","たくわえる","0","-","-","20","-","0","変化","false","false"
"281","たこがため","1","-","-","15","100","0","変化","false","true"
"282","たたきつける","0","80","130","20","75","0","物理","true","true"
"283","たたみがえし","1","-","-","10","-","0","変化","false","false"
"284","たたりめ","7","65","120","10","100","0","特殊","false","true"
"285","たつまき","15","40","90","20","100","0","特殊","false","true"
"286","タネばくだん","11","80","130","15","100","0","物理","false","true"
"287","タネマシンガン","11","25","130","30","100","0","物理","false","true"
"288","タマゴうみ","0","-","-","10","-","0","変化","false","false"
"289","ダイアーク","16","-","-","0","-","0","-","false","false"
"290","ダイアース","4","-","-","0","-","0","-","false","false"
"291","ダイアイス","14","-","-","0","-","0","-","false","false"
"292","ダイアシッド","3","-","-","0","-","0","-","false","false"
"293","ダイアタック","0","-","-","0","-","0","-","false","false"
"294","ダイウォール","0","-","-","0","-","4","-","false","false"
"295","ダイサイコ","13","-","-","0","-","0","-","false","false"
"296","ダイサンダー","12","-","-","0","-","0","-","false","false"
"297","ダイジェット","2","-","-","0","-","0","-","false","false"
"298","ダイスチル","8","-","-","0","-","0","-","false","false"
"299","ダイストリーム","10","-","-","0","-","0","-","false","false"
"300","ダイソウゲン","11","-","-","0","-","0","-","false","false"
"301","だいちのちから","4","90","130","10","100","0","特殊","false","true"
"302","ダイドラグーン","15","-","-","0","-","0","-","false","false"
"303","ダイナックル","1","-","-","0","-","0","-","false","false"
"304","ダイバーン","9","-","-","0","-","0","-","false","false"
"305","だいばくはつ","0","250","150","5","100","0","物理","false","true"
"306","ダイビング","10","80","130","10","100","0","物理","true","true"
"307","ダイフェアリー","17","-","-","0","-","0","-","false","false"
"308","ダイホロウ","7","-","-","0","-","0","-","false","false"
"309","ダイマックスほう","15","100","140","5","100","0","特殊","false","true"
"310","だいもんじ","9","110","140","5","85","0","特殊","false","true"
"311","ダイロック","5","-","-","0","-","0","-","false","false"
"312","ダイワーム","6","-","-","0","-","0","-","false","false"
"313","だくりゅう","10","90","130","10","85","0","特殊","false","true"
"314","ダストシュート","3","120","95","5","80","0","物理","false","true"
"315","ダブルアタック","0","35","120","10","90","0","物理","true","true"
"316","ダブルチョップ","15","40","130","15","90","0","物理","true","true"
"317","ダブルパンツァー","8","60","140","5","100","0","物理","true","true"
"318","ダメおし","16","60","110","10","100","0","物理","true","true"
"319","ちいさくなる","0","-","-","10","-","0","変化","false","false"
"320","ちからをすいとる","11","-","-","10","100","0","変化","false","true"
"321","ちきゅうなげ","1","-","75","20","100","0","物理","true","true"
"322","チャージビーム","12","50","100","10","90","0","特殊","false","true"
"323","チャームボイス","17","40","90","15","-","0","特殊","false","true"
"324","ちょうおんぱ","0","-","-","20","55","0","変化","false","true"
"325","ちょうのまい","6","-","-","20","-","0","変化","false","false"
"326","ちょうはつ","16","-","-","20","100","0","変化","false","true"
"327","ついばむ","2","60","110","20","100","0","物理","true","true"
"328","つきのひかり","17","-","-","5","-","0","変化","false","false"
"329","つけあがる","16","20","130","10","100","0","物理","true","true"
"330","つじぎり","16","70","120","15","100","0","物理","true","true"
"331","つっぱり","1","15","70","20","100","0","物理","true","true"
"332","つつく","2","35","90","35","100","0","物理","true","true"
"333","つのでつく","0","65","120","25","100","0","物理","true","true"
"334","つのドリル","0","-","130","5","30","0","物理","true","true"
"335","つばさでうつ","2","60","110","35","100","0","物理","true","true"
"336","つばめがえし","2","60","110","20","-","0","物理","true","true"
"337","つぶらなひとみ","17","-","-","30","100","1","変化","false","true"
"338","つぼをつく","0","-","-","30","-","0","変化","false","false"
"339","つめとぎ","16","-","-","15","-","0","変化","false","false"
"340","つららおとし","14","85","130","10","90","0","物理","false","true"
"341","つららばり","14","25","130","30","100","0","物理","false","true"
"342","つるぎのまい","0","-","-","20","-","0","変化","false","false"
"343","つるのムチ","11","45","100","25","100","0","物理","true","true"
"344","てかげん","0","40","90","40","100","0","物理","true","true"
"345","てだすけ","0","-","-","20","-","5","変化","false","false"
"346","てっていこうせん","8","140","140","5","95","0","特殊","false","true"
"347","てっぺき","8","-","-","15","-","0","変化","false","false"
"348","テレポート","13","-","-","20","-","-6","変化","false","false"
"349","てをつなぐ","0","-","-","40","-","0","変化","false","false"
"350","てんしのキッス","17","-","-","10","75","0","変化","false","true"
"351","であいがしら","6","90","130","10","100","2","物理","true","true"
"352","DDラリアット","16","85","130","10","100","0","物理","true","true"
"353","デコレーション","17","-","-","15","-","0","変化","false","false"
"354","でんきショック","12","40","90","30","100","0","特殊","false","true"
"355","でんげきくちばし","12","85","130","10","100","0","物理","true","true"
"356","でんげきは","12","60","110","20","-","0","特殊","false","true"
"357","でんこうせっか","0","40","90","30","100","1","物理","true","true"
"358","でんじは","12","-","-","20","90","0","変化","false","true"
"359","でんじふゆう","12","-","-","10","-","0","変化","false","false"
"360","でんじほう","12","120","140","5","50","0","特殊","false","true"
"361","トーチカ","3","-","-","10","-","4","変化","false","false"
"362","とおせんぼう","0","-","-","5","-","0","変化","false","false"
"363","とおぼえ","0","-","-","40","-","0","変化","false","false"
"364","とぎすます","0","-","-","30","-","0","変化","false","false"
"365","とぐろをまく","3","-","-","20","-","0","変化","false","false"
"366","とける","3","-","-","20","-","0","変化","false","false"
"367","とっしん","0","90","130","20","85","0","物理","true","true"
"368","とっておき","0","140","140","5","100","0","物理","true","true"
"369","とどめばり","6","50","100","25","100","0","物理","true","true"
"370","とびかかる","6","80","130","15","100","0","物理","true","true"
"371","とびはねる","2","85","130","5","85","0","物理","true","true"
"372","とびひざげり","1","130","95","10","90","0","物理","true","true"
"373","ともえなげ","1","60","80","10","90","-6","物理","true","true"
"374","トライアタック","0","80","130","10","100","0","特殊","false","true"
"375","トラップシェル","9","150","150","5","100","-3","特殊","false","true"
"376","トラバサミ","11","35","90","15","100","0","物理","true","true"
"377","トリック","13","-","-","10","100","0","変化","false","true"
"378","トリックガード","17","-","-","10","-","3","変化","false","false"
"379","トリックルーム","13","-","-","5","-","-7","変化","false","false"
"380","トリプルキック","1","10","80","10","90","0","物理","true","true"
"381","トロピカルキック","11","70","120","15","100","0","物理","true","true"
"382","とんぼがえり","6","70","120","20","100","0","物理","true","true"
"383","どくガス","3","-","-","40","90","0","変化","false","true"
"384","どくづき","3","80","90","20","100","0","物理","true","true"
"385","どくどく","3","-","-","10","90","0","変化","false","true"
"386","どくどくのキバ","3","50","75","15","100","0","物理","true","true"
"387","どくのこな","3","-","-","35","75","0","変化","false","true"
"388","どくばり","3","15","70","35","100","0","物理","false","true"
"389","どくびし","3","-","-","20","-","0","変化","false","false"
"390","どげざつき","16","80","130","10","-","0","物理","true","true"
"391","ドラゴンアロー","15","50","130","10","100","0","物理","false","true"
"392","ドラゴンクロー","15","80","130","15","100","0","物理","true","true"
"393","ドラゴンダイブ","15","100","130","10","75","0","物理","true","true"
"394","ドラゴンテール","15","60","110","10","90","-6","物理","true","true"
"395","ドラムアタック","11","80","130","10","100","0","物理","false","true"
"396","ドリルくちばし","2","80","130","20","100","0","物理","true","true"
"397","ドリルライナー","4","80","130","10","95","0","物理","true","true"
"398","ドレインキッス","17","50","100","10","100","0","特殊","true","true"
"399","ドレインパンチ","1","75","90","10","100","0","物理","true","true"
"400","どろかけ","4","20","90","10","100","0","特殊","false","true"
"401","どろぼう","16","60","110","25","100","0","物理","true","true"
"402","ドわすれ","13","-","-","20","-","0","変化","false","false"
"403","ないしょばなし","0","-","-","20","-","0","変化","false","false"
"404","ナイトバースト","16","85","130","10","95","0","特殊","false","true"
"405","ナイトヘッド","7","-","100","15","100","0","特殊","false","true"
"406","なかまづくり","0","-","-","15","100","0","変化","false","true"
"407","なかよくする","0","-","-","20","-","0","変化","false","false"
"408","なきごえ","0","-","-","40","100","0","変化","false","true"
"409","なげつける","16","-","100","10","100","0","物理","false","true"
"410","なまける","0","-","-","10","-","0","変化","false","false"
"411","なみだめ","0","-","-","20","-","0","変化","false","false"
"412","なみのり","10","90","130","15","100","0","特殊","false","true"
"413","なやみのタネ","11","-","-","10","100","0","変化","false","true"
"414","なりきり","13","-","-","10","-","0","変化","false","false"
"415","ニードルガード","11","-","-","10","-","4","変化","false","false"
"416","ニトロチャージ","9","50","100","20","100","0","物理","true","true"
"417","にどげり","1","30","80","30","100","0","物理","true","true"
"418","にほんばれ","9","-","-","5","-","0","変化","false","false"
"419","にらみつける","0","-","-","30","100","0","変化","false","true"
"420","ねがいごと","0","-","-","10","-","0","変化","false","false"
"421","ねこだまし","0","40","90","10","100","3","物理","true","true"
"422","ネコにこばん","0","40","90","20","100","0","物理","false","true"
"423","ねごと","0","-","-","10","-","0","変化","false","false"
"424","ねっとう","10","80","130","15","100","0","特殊","false","true"
"425","ねっぷう","9","95","130","10","90","0","特殊","false","true"
"426","ねばねばネット","6","-","-","20","-","0","変化","false","false"
"427","ねむりごな","11","-","-","15","75","0","変化","false","true"
"428","ねむる","13","-","-","10","-","0","変化","false","false"
"429","ねらいうち","10","80","130","15","100","0","特殊","false","true"
"430","ねをはる","11","-","-","20","-","0","変化","false","false"
"431","ねんりき","13","50","100","25","100","0","特殊","false","true"
"432","のしかかり","0","85","130","15","100","0","物理","true","true"
"433","のみこむ","0","-","-","10","-","0","変化","false","false"
"434","のろい","7","-","-","10","-","0","変化","false","false"
"435","ハードプラント","11","150","150","5","90","0","特殊","false","true"
"436","はいすいのじん","1","-","-","5","-","0","変化","false","false"
"437","ハイドロカノン","10","150","150","5","90","0","特殊","false","true"
"438","ハイドロポンプ","10","110","140","5","80","0","特殊","false","true"
"439","ハイパーボイス","0","90","130","10","100","0","特殊","false","true"
"440","はかいこうせん","0","150","150","5","90","0","特殊","false","true"
"441","はがねのつばさ","8","70","120","25","90","0","物理","true","true"
"442","はきだす","0","-","100","10","100","0","特殊","false","true"
"443","ハサミギロチン","0","-","130","5","30","0","物理","true","true"
"444","はさむ","0","55","110","30","100","0","物理","true","true"
"445","はたきおとす","16","65","120","20","100","0","物理","true","true"
"446","はたく","0","40","90","35","100","0","物理","true","true"
"447","はっけい","1","60","80","10","100","0","物理","true","true"
"448","はっぱカッター","11","55","110","25","95","0","物理","false","true"
"449","ハッピータイム","0","-","-","30","-","0","変化","false","false"
"450","はどうだん","1","80","90","20","-","0","特殊","false","true"
"451","はなびらのまい","11","120","140","10","100","0","特殊","true","true"
"452","はなふぶき","11","90","130","15","100","0","物理","false","true"
"453","はねやすめ","2","-","-","10","-","0","変化","false","false"
"454","はねる","0","-","-","40","-","0","変化","false","false"
"455","はめつのねがい","8","140","140","5","100","0","特殊","false","false"
"456","はらだいこ","0","-","-","10","-","0","変化","false","false"
"457","ハロウィン","7","-","-","20","100","0","変化","false","true"
"458","バークアウト","16","55","110","15","95","0","特殊","false","true"
"459","ばかぢから","1","120","95","5","100","0","物理","true","true"
"460","ばくおんぱ","0","140","140","10","100","0","特殊","false","true"
"461","ばくれつパンチ","1","100","90","5","50","0","物理","true","true"
