"pokemon_id","local_language_id","name"
"n67","1","ゴーリキー",""
"n67","2","Machoke",""
"n68","1","カイリキー",""
"n68","2","Machamp",""
"n69","1","マダツボミ",""
"n69","2","Bellsprout",""
"n70","1","ウツドン",""
"n70","2","Weepinbell",""
"n71","1","ウツボット",""
"n71","2","Victreebel",""
"n72","1","メノクラゲ",""
"n72","2","Tentacool",""
"n73","1","ドククラゲ",""
"n73","2","Tentacruel",""
"n74","1","イシツブテ",""
"n74","2","Geodude",""
"n74a","1","イシツブテ","アローラのすがた"
"n74a","2","Geodude","アローラのすがた"
"n75","1","ゴローン",""
"n75","2","Graveler",""
"n75a","1","ゴローン","アローラのすがた"
"n75a","2","Graveler","アローラのすがた"
"n76","1","ゴローニャ",""
"n76","2","Golem",""
"n76a","1","ゴローニャ","アローラのすがた"
"n76a","2","Golem","アローラのすがた"
"n77","1","ポニータ",""
"n77","2","Ponyta",""
"n78","1","ギャロップ",""
"n78","2","Rapidash",""
"n79","1","ヤドン",""
"n79","2","Slowpoke",""
"n80","1","ヤドラン",""
"n80","2","Slowbro",""
"n80m","1","メガヤドラン","メガヤドラン"
"n80m","2","Slowbro","メガヤドラン"
"n81","1","コイル",""
"n81","2","Magnemite",""
"n82","1","レアコイル",""
"n82","2","Magneton",""
"n83","1","カモネギ",""
"n83","2","Farfetch'd",""
"n84","1","ドードー",""
"n84","2","Doduo",""
"n85","1","ドードリオ",""
"n85","2","Dodrio",""
"n86","1","パウワウ",""
"n86","2","Seel",""
"n87","1","ジュゴン",""
"n87","2","Dewgong",""
"n88","1","ベトベター",""
"n88","2","Grimer",""
"n88a","1","ベトベター","アローラのすがた"
"n88a","2","Grimer","アローラのすがた"
"n89","1","ベトベトン",""
"n89","2","Muk",""
"n89a","1","ベトベトン","アローラのすがた"
"n89a","2","Muk","アローラのすがた"
"n90","1","シェルダー",""
"n90","2","Shellder",""
"n91","1","パルシェン",""
"n91","2","Cloyster",""
"n92","1","ゴース",""
"n92","2","Gastly",""
"n93","1","ゴースト",""
"n93","2","Haunter",""
"n94","1","ゲンガー",""
"n94","2","Gengar",""
"n94m","1","メガゲンガー","メガゲンガー"
"n94m","2","Gengar","メガゲンガー"
"n95","1","イワーク",""
"n95","2","Onix",""
"n96","1","スリープ",""
"n96","2","Drowzee",""
"n97","1","スリーパー",""
"n97","2","Hypno",""
"n98","1","クラブ",""
"n98","2","Krabby",""
"n99","1","キングラー",""
"n99","2","Kingler",""
"n100","1","ビリリダマ",""
"n100","2","Voltorb",""
"n101","1","マルマイン",""
"n101","2","Electrode",""
"n102","1","タマタマ",""
"n102","2","Exeggcute",""
"n103","1","ナッシー",""
"n103","2","Exeggutor",""
"n103a","1","ナッシー","アローラのすがた"
"n103a","2","Exeggutor","アローラのすがた"
"n104","1","カラカラ",""
"n104","2","Cubone",""
"n105","1","ガラガラ",""
"n105","2","Marowak",""
"n105a","1","ガラガラ","アローラのすがた"
"n105a","2","Marowak","アローラのすがた"
"n106","1","サワムラー",""
"n106","2","Hitmonlee",""
"n107","1","エビワラー",""
"n107","2","Hitmonchan",""
"n108","1","ベロリンガ",""
"n108","2","Lickitung",""
"n109","1","ドガース",""
"n109","2","Koffing",""
"n110","1","マタドガス",""
"n110","2","Weezing",""
"n111","1","サイホーン",""
"n111","2","Rhyhorn",""
"n112","1","サイドン",""
"n112","2","Rhydon",""
"n113","1","ラッキー",""
"n113","2","Chansey",""
"n114","1","モンジャラ",""
"n114","2","Tangela",""
"n115","1","ガルーラ",""
"n115","2","Kangaskhan",""
"n115m","1","メガガルーラ","メガガルーラ"
"n115m","2","Kangaskhan","メガガルーラ"
"n116","1","タッツー",""
"n116","2","Horsea",""
"n117","1","シードラ",""
"n117","2","Seadra",""
"n118","1","トサキント",""
"n118","2","Goldeen",""
"n119","1","アズマオウ",""
"n119","2","Seaking",""
"n120","1","ヒトデマン",""
"n120","2","Staryu",""
"n121","1","スターミー",""
"n121","2","Starmie",""
"n122","1","バリヤード",""
"n122","2","Mr. Mime",""
"n123","1","ストライク",""
"n123","2","Scyther",""
"n124","1","ルージュラ",""
"n124","2","Jynx",""
"n125","1","エレブー",""
"n125","2","Electabuzz",""
"n126","1","ブーバー",""
"n126","2","Magmar",""
"n127","1","カイロス",""
"n127","2","Pinsir",""
"n127m","1","メガカイロス","メガカイロス"
"n127m","2","Pinsir","メガカイロス"
"n128","1","ケンタロス",""
"n128","2","Tauros",""
"n129","1","コイキング",""
"n129","2","Magikarp",""
"n130","1","ギャラドス",""
"n130","2","Gyarados",""
"n130m","1","メガギャラドス","メガギャラドス"
"n130m","2","Gyarados","メガギャラドス"
"n131","1","ラプラス",""
"n131","2","Lapras",""
"n132","1","メタモン",""
"n132","2","Ditto",""
"n133","1","イーブイ",""
"n133","2","Eevee",""
"n133b","1","イーブイ","相棒"
"n133b","2","Eevee","相棒"
"n134","1","シャワーズ",""
"n134","2","Vaporeon",""
"n135","1","サンダース",""
"n135","2","Jolteon",""
"n136","1","ブースター",""
"n136","2","Flareon",""
"n137","1","ポリゴン",""
"n137","2","Porygon",""
"n138","1","オムナイト",""
"n138","2","Omanyte",""
"n139","1","オムスター",""
"n139","2","Omastar",""
"n140","1","カブト",""
"n140","2","Kabuto",""
"n141","1","カブトプス",""
"n141","2","Kabutops",""
"n142","1","プテラ",""
"n142","2","Aerodactyl",""
"n142m","1","メガプテラ","メガプテラ"
"n142m","2","Aerodactyl","メガプテラ"
"n143","1","カビゴン",""
"n143","2","Snorlax",""
"n144","1","フリーザー",""
"n144","2","Articuno",""
"n145","1","サンダー",""
"n145","2","Zapdos",""
"n146","1","ファイヤー",""
"n146","2","Moltres",""
"n147","1","ミニリュウ",""
"n147","2","Dratini",""
"n148","1","ハクリュー",""
"n148","2","Dragonair",""
"n149","1","カイリュー",""
"n149","2","Dragonite",""
"n150","1","ミュウツー",""
"n150","2","Mewtwo",""
"n150x","1","メガミュウツーX","メガミュウツーX"
"n150x","2","Mewtwo","メガミュウツーX"
"n150y","1","メガミュウツーY","メガミュウツーY"
"n150y","2","Mewtwo","メガミュウツーY"
"n151","1","ミュウ",""
"n151","2","Mew",""
